,Entity_ID,Name,Alias,Notes
12,Committee_of_Regulation_and_Liquidation_on_Private_Ventures,Committee of Regulation and Liquidation on Private Ventures, ,1020 19th Street Northwest  Washington DC 20036  United States
13,Commodities_Futures_Trading_Commission,Commodities Futures Trading Commission, ,"(Note: this fake regulator is not connected and should not be confused with the legitimate US regulator, the Commodity Futures Trading Commission whose website is: www.cftc.gov)www.cftc.org.au"
14,http://www.cftc.gov),http://www.cftc.gov), , 
15,Commonwealth_Regulatory_Board,Commonwealth Regulatory Board, ,800 Boylston Street  11th Floor  Boston  Massachusetts 02199http://commregboard.us
16,Department_of_Financial_Trading,Department of Financial Trading, ,1204 18th Street Northwest  WASHINGTON&nbsp; DC  Ph: +1 202 552 1539  Fax: +1 202 315 3213  gov.depft.us  securities@gov.depft.us  anthony.cordaro@gov.depft.us
17,Department_of_Foreign_Investment_Control,Department of Foreign Investment Control, ,"1048, 12th Street Northwest, Washington, US  Ph: 1-202-446-0940  Fax:1-202-379-9790  www.dfic.us and www.gov.dfic.us  inquiries@gov.dfic.us, compliance@gov.dfic.us and john.franco@gov.dfic.usAccount no.: <span class=""account"">6550221001   Account name: <span class=""alias"">Bank Confidence   Bank Name: Bank of America N.A."
18,Department_of_International_Financial_Trading,Department of International Financial Trading, ,"Address(1): 1400 New York Ave Northwest, Washington, DC 20005 (address as per website and several documents from reporters)  Address(2): 1204 18th Street Northwest, Washington DC 20036  Ph: 1 202 552 1540  Fax: 1 202 478 2771  Website: http://depintft.orgAccount name: <span class=""alias"">Bank Luso   Account number: <span class=""account"">3544027732001   Bank: Standard Chartered BankNote. This company shares the same address as <a href=""/companies-you-should-not-deal-with/department-of-financial-trading"" title=""Department of Financial Trading"">Department of Financial Trading</a>."
19,Department_of_Securities_Trading,Department of Securities Trading, ,745 19th Street Northwest  Washington DC 20431  USA&nbsp;
20,Digital_Gold_Exchange,Digital Gold Exchange, ,"Address: Badenerstrasse 549, 8048 Zürich, SwitzerlandPh: +442033184033Email: info@digitalgoldxchange.comWebsite: https://digitalgoldxchange.com/Account name: <span class=""alias"">International Asset Bank   Account number: <span class=""account"">BG451ABG74321400323501   Bank name: Fplus"
21,East_West_Financial_&amp;_Securities_Compliance,East West Financial &amp; Securities Compliance, ,11815 Fountain Way  Suite 300  Newport News  Virginia 23606  USAP: +1.757.320.5173  F: +1.757.216.9552  info@finsc.us  http://finsc.us
22,Equities_Trading_Commission,Equities Trading Commission, ,"(Fake regulator)  1800 K Street Northwest #530  Washington, DC 20006  Ph: 12022497490  Fax: 12023188716  www.gov.eqtc.us  equities@gov.eqtc.us"
23,European_Financial_Services_Conduct_Authority,European Financial Services Conduct Authority, ,Website : https://efsca.online/
24,European_Futures_Options_Commission,European Futures Options Commission, ,(fake regulator)  www.efoc.org
25,Federal_Assurance_Regulatory_Commission,Federal Assurance Regulatory Commission, ,1666 Connecticut Ave NW  Washington  DC 20009http://www.fedarc.org
26,Federal_Mergers_&amp;_Securities_Board,Federal Mergers &amp; Securities Board, ,"1001 SW 5th Avenue,  Suite 500,  Portland, Oregon, 97204Account name: <span class=""alias"">Overseas Holdings Compensation Commission   Account number: <span class=""account"">115543225   Bank name: U.S. Central Bank Federal Reserve"
27,Financial_Assurance_Regulatory_Board,Financial Assurance Regulatory Board, ,"Kiureikon Bldg.  6F, 2-47-3, Ikebukuro,  Toshima-ku,  Tokyo 171-0014http://finarb.org"
28,Financial_Services_Regulatory_Authority_of_Belgium,Financial Services Regulatory Authority of Belgium, ,www.fsrab.org
29,Foreign_Shareholders_Protection_Department,Foreign Shareholders Protection Department, ,No further information available.
30,Forensic_Financial_Fraud_Investigators,Forensic Financial Fraud Investigators, ,"999, 18th Street  Suite 3000  Denver, Colorado  United States  Phone: 1303 352 1987  Fax: 1303 496 0552"
31,Futures_Trading_Standards_Commission,Futures Trading Standards Commission, ,9th Floor&nbsp;  16-19 Canada Square  London  E14 5ERenquiries@ukftsc.org  www.ukftsc.org
32,Global_Metal_and_Commodities_Exchange,Global Metal and Commodities Exchange, ,www.gmcex.com
33,Global_Regulatory_Authority,Global Regulatory Authority, ,"100-0013 Tokyo-to Chiyoda-ku,  Kasumigaseki Chome,  Tokyo, 100-0005http://www.globalregulatoryauthority.com"
34,Hong_Kong_Financial_Services_Authority,Hong Kong Financial Services Authority, ,www.hkfsa.org
35,Hong_Kong_Financial_Trading_Authority_,Hong Kong Financial Trading Authority ,(HKFTA),www.hkdta.org.au
36,Hong_Kong_Futures_and_Options_Exchange_,Hong Kong Futures and Options Exchange ,(HKFOX),No further information available.
37,Integrated_Financial_Regulatory_Board,Integrated Financial Regulatory Board, ,"1633-1655 Q Street, Washington DC 20009  Ph: (202) 545-6275  www.integratedfrboard.net/"
38,Inter-global_Financial_Regulatory_Board,Inter-global Financial Regulatory Board, ,"1500 Market Street  16th Floor, East Tower  Philadelphia  Pennsylvania 19102P: +1.267.297.3362  F: +1.267.289.7833  info@igfrb.org  http://www.igfrb.org"
39,International_Association_of_Transfer_Agents,International Association of Transfer Agents, ,www.theiata.org
40,International_Compliance_Commission,International Compliance Commission, ,No further information available.
41,International_Equity_Commission,International Equity Commission, ,No further information available.
42,International_Exchange_Regulatory_Commission,International Exchange Regulatory Commission, ,No further information available.
43,International_Offshore_Financial_Markets_Regulators_,International Offshore Financial Markets Regulators ,(IOFMR),(fake regulator)  http://iofmr.com/
44,International_Organization_of_Securities_Commission,International Organization of Securities Commission, ,www.iosc-us.com
45,International_Regulatory_Commission,International Regulatory Commission, ,No further information available.
46,International_Securities_Tax_Commission,International Securities Tax Commission, ,7029 Albert Pick Road  Greensboro  NC 27409  United States  Ph 1 3336 346 3517  1 336 346 0137  Fax 1 336 458 9428  www.istcommission.us
47,International_Shareholder_Agency,International Shareholder Agency, ,One Perimeter Park South  Birmingham AL 35243  USA  Ph 1 (205) 453 4783  Fax 1 (205) 263 6431  www.isa-al.us
48,Japan_Futures_Trading_Fund_,Japan Futures Trading Fund ,(JFTB),jftb.org/eng
49,Japan_Options_and_Futures_Trading_Board,Japan Options and Futures Trading Board, ,www.joftb.org
50,National_Compliance_Regulatory_Board,National Compliance Regulatory Board, ,"445 S. Figueroa Street, Suites 3100-3500,  Los Angeles, California, 90071  Ph: 001 323 546 4409  Fax: 001 323 978 5123  www.natcrb.org"
51,National_Mergers_and_Acquisitions_Board,National Mergers and Acquisitions Board, ,645 Griswold St  Detroit  MI 48226  United States  Ph 1 313 228 9930  Fax 1 313 731 0379  www.nationalmaboard-gov.us
52,National_Shareholder_Protection_Agency,National Shareholder Protection Agency, ,"5100 Poplar Avenue  Memphis, TN 38137 - 4000  Phone: 1 (901) 881 5572  Fax: 1 (901) 531 8077  Email: regulation@nspagency.us  Website: www.nspagency.us"
53,Office_of_Financial_Affairs,Office of Financial Affairs, ,879 13th Street  Northwest Washington  DC  20005 United Stateshttp://ofina.us  compliance@gov.ofinaff.org
54,Offshore_Commodity_Futures_Dealers_Association_,Offshore Commodity Futures Dealers Association ,(OCFDA),"Rue De Congre, 12 - 14  Brussels 1000  Belgium"
55,Offshore_Futures_Securities_Association,Offshore Futures Securities Association, ,www.ofs-a.org
56,Offshore_Investors_Protection_Association,Offshore Investors Protection Association, ,www.oipaonline.org
57,Options_and_Futures_Trade_Commission,Options and Futures Trade Commission, ,www.oftc.hk
58,Overseas_Holding_Compensation_Commission,Overseas Holding Compensation Commission, ,No other information.
59,Plutus_Private_Equity_LLC,Plutus Private Equity LLC, ,Plutus Private Equity LLC  1 Mystic View Road  Boston MA 02149  Ph: 1 617 517 3046  Fax: 1 617 249 0766  contact@plutuspe.com  www.plutuspe.com
60,Prudential_Regulatory_Board,Prudential Regulatory Board, ,1215 K Street  12th Floor  Sacramento .  California 95814  United StatesP: 1.916.913.0726  F: 1.916.471.0344  info@pregboard.com  http://pregb.com
61,Regional_Regulatory_Board,Regional Regulatory Board, ,"2101 L Street NW, Suite 800  Washington, DC 20037  Ph: +1(202) 552 1536  Fax:+1(202)379 3532  www.regionalregboard.org"
62,Regulatory_Association_Of_Offshore_Investment_Managers,Regulatory Association Of Offshore Investment Managers, ,www.raoim.org
63,Regulatory_Compliance_Commission,Regulatory Compliance Commission, ,No further information available.
64,Securities_Regulatory_Commission,Securities Regulatory Commission, ,"3rd Fl., Kawakami Bldg 17-6, Hiroo 5-chome,  Shibuya-ku, Tokyo ZIP 150-0012P: +81 645 605 035  info@securityregulatorycommission.comAccount name: <span class=""alias"">LNT International Trading Company   Account no: <span class=""account"">788648529   Bank name: DBS Bank (Hong Kong) Limited"
65,Securities_Regulatory_and_Investment_Board,Securities Regulatory and Investment Board, ,Kirchnertrasse 6-8  D - 60311 Frankfurt am Main  Germany  Ph 49 (692) 5737 8795 /49 (692) 5738 5886  Fax 49 (693) 809 9144  www.srib.org
66,Sicfex_Swiss_International_Commodities_Futures_Exchange,Sicfex Swiss International Commodities Futures Exchange, ,www.sicfex.com
67,Swiss_Commodities_Futures_Exchange,Swiss Commodities Futures Exchange, ,"(linked to <a href=""/companies-you-should-not-deal-with/weissmuller-and-sons"" title=""Weissmüller and Sons"">Weissmüller and Sons</a>)"
68,Thompson_Brennan_Stanley,Thompson Brennan Stanley, ,One North End Avenue  NEW YORK 10282  Ph: 1 212 401 6219  web: www.thompsonbrennanstanley.com  email: info@thompsonbrennanstanley.com
69,Transfer_Exchange_Corporation,Transfer Exchange Corporation, ,445 Broad Hollow Road  Melville NY 11747  Phone: 1 212 461 3170  Email: info@ transferexchangecorp.com  Web: www.transferexchangecorp.com
70,The_Futures_Exchange_Securities_Regulator,The Futures Exchange Securities Regulator, ,"50 Broadway  23rd Floor  New York, NY 10004-1607http://fesr.us"
71,The_International_Board_of_Trade_Commission,The International Board of Trade Commission, ,P: +19842550598  F: +12027548204  contact@international-btc.org  http://internationalbtc.org
72,The_International_Regulatory_Panel_of_Trade,The International Regulatory Panel of Trade, ,P: +19842550598  contact@international-btc.org  http://intl-rpt.org/
73,United_Kingdom_Commodity_Derivatives_Association,United Kingdom Commodity Derivatives Association, ,"14 Upper Bank Street, Canary Wharf, Poplar, London E14  http://ukcda.org/"
74,United_Kingdom_Managed_Futures_Association,United Kingdom Managed Futures Association, ,"25 Bank Street, Poplar, London Borough of Tower Hamlets, London E14.  http://ukmfa.org  info@ukmfa.org; complaints@ukmfa.org"
75,US_Securities_Investigative_Committee,US Securities Investigative Committee, ,No further details available.
76,US_Stock_Regulators,US Stock Regulators, ,"1101 Pennsylvania Ave NW Washington, DC 20004, USA  001 202-455-8919  http://www.gov.usastockreg.us/"
77,World_Options_Exchange,World Options Exchange, ,www.woptex.com
78,World_Trade_Commodities_Exchange,World Trade Commodities Exchange, ,P: +44 207 6813 179  trading@wtcex.com  www.wtcex.org
79,Worldwide_Securities_Investment_Comission,Worldwide Securities Investment Comission, ,http://www.asic-capital.com/
